path,role,category,profile,format,bytes,width,height,sha256,status
assets/runtime/backgrounds/bg_crisis_scene_v1--desktop.avif,runtime,background,desktop,avif,84431,1280,853,b74b417a546a71fab82bd2e95896d710e718910925b4dd968287919142e83985,optimized
assets/runtime/backgrounds/bg_crisis_scene_v1--desktop.webp,runtime,background,desktop,webp,136312,1280,853,d93519fafc1d30cf8396900f77850af1de9fc660d91a7df4009b6582400b57fa,optimized
assets/runtime/backgrounds/bg_crisis_scene_v1--mobile.avif,runtime,background,mobile,avif,51510,720,960,1f60130c675343ab3bef81417549cfade406124270ad768772fc0bac9a6bab09,optimized
assets/runtime/backgrounds/bg_crisis_scene_v1--mobile.webp,runtime,background,mobile,webp,83944,720,960,904ddae23fdb5457f35567b273da2c775d27fc0a89e6dafabc78f0608eada7e2,optimized
assets/runtime/backgrounds/bg_dashboard_city_view_v1--desktop.avif,runtime,background,desktop,avif,70858,1280,853,b5452a4259fc9f6ccb7cce3b01ca1cb153e9db3049e4ba4a2079fad04df6875f,optimized
assets/runtime/backgrounds/bg_dashboard_city_view_v1--desktop.webp,runtime,background,desktop,webp,126004,1280,853,f57227b675d6d6487cbd2c422f82233aef7d0d4cb023dd97bc4036ae7fd7294c,optimized
assets/runtime/backgrounds/bg_dashboard_city_view_v1--mobile.avif,runtime,background,mobile,avif,39650,720,960,b86f282d0a89c16863d889a5105fbb45c8ff06fe61937bc84f072eb217abace3,optimized
assets/runtime/backgrounds/bg_dashboard_city_view_v1--mobile.webp,runtime,background,mobile,webp,73446,720,960,65668c42bf85cb43d685c28e9f4a4a429e5839dd370e5b1331af20b478da229b,optimized
assets/runtime/backgrounds/bg_diplomacy_room_v1--desktop.avif,runtime,background,desktop,avif,81474,1280,853,ed9256c7504c5f94a8330014f16e8a37c9e4907a3eb875f5fbbbe195fc78e8a8,optimized
assets/runtime/backgrounds/bg_diplomacy_room_v1--desktop.webp,runtime,background,desktop,webp,145670,1280,853,5d8f114c152292f97405e76184508e1d0e57bfc7a76819caaa5af9686885d76c,optimized
